threshold,treat_all,treat_none,clinical,cnv,image,cnv_image_fusion,clinical_cnv,clinical_image,clinical_cnv_image
0.48999999999999994,-0.3071895424836601,0.0,-0.023137254901960752,0.0,-0.04130718954248358,0.05673202614379087,-0.04078431372549013,0.03686274509803927,0.03124183006535952
0.49999999999999994,-0.3333333333333333,0.0,-0.026666666666666644,0.0,-0.039999999999999925,0.053333333333333344,-0.03333333333333327,0.026666666666666727,0.03333333333333338
0.5099999999999999,-0.3605442176870746,0.0,-0.02285714285714277,0.0,-0.05197278911564612,0.05061224489795921,-0.05224489795918352,0.016054421768707583,0.02911564625850349
0.5199999999999999,-0.3888888888888888,0.0,-0.03277777777777771,0.0,-0.07111111111111104,0.05500000000000002,-0.06444444444444436,0.005555555555555647,0.046666666666666745
0.5299999999999999,-0.4184397163120565,0.0,-0.043120567375886404,0.0,-0.07659574468085092,0.032340425531914935,-0.07659574468085092,0.009361702127659743,0.04354609929078024
0.5399999999999999,-0.4492753623188404,0.0,-0.030434782608695615,0.0,-0.07420289855072451,0.0373913043478261,-0.08869565217391301,0.00608695652173924,0.02724637681159431
0.5499999999999999,-0.48148148148148134,0.0,-0.032592592592592534,0.0,-0.09407407407407398,0.05259259259259261,-0.0925925925925925,-0.0037037037037036535,0.004444444444444529
0.5599999999999999,-0.5151515151515151,0.0,-0.03454545454545452,0.0,-0.10606060606060597,0.05454545454545455,-0.08909090909090905,-0.006666666666666654,-0.006666666666666654
0.57,-0.5503875968992247,0.0,-0.04511627906976737,0.0,-0.11131782945736429,0.05348837209302326,-0.0936434108527131,-0.016124031007751893,-0.0006201550387596177
0.58,-0.5873015873015872,0.0,-0.03523809523809518,0.0,-0.10730158730158723,0.05238095238095239,-0.08888888888888885,-0.018730158730158708,0.0155555555555556
0.59,-0.6260162601626016,0.0,-0.036097560975609705,0.0,-0.11869918699186985,0.04455284552845529,-0.09284552845528449,-0.021138211382113803,-0.0019512195121950682
0.6,-0.6666666666666667,0.0,-0.05333333333333329,0.0,-0.11333333333333326,0.02333333333333334,-0.11333333333333326,-0.046666666666666634,-0.019999999999999962
